Game, Year, Platform, Complexity, Scope,Combined Score
Age of Empires II: The Age of Kings,1999, Windows,5,5,10
Aldo's Adventure,1987, DOS,1.5,1.5,3
Animal Crossing,2001, Nintendo 64,3.5,4.5,8
Asteroids,1979, Arcade,1.5,1,2.5
Bejeweled,2000, Web Browser,1.5,1,2.5
Blockade (Snake),1976, Arcade,1,0.5,1.5
Breakout,1976,Arcade,0.5,0.5,1
Breath of Fire II,1994, SNES,3,4,7
Bubble Bobble,1986, Arcade,2,2,4
Castlevania,1986, Famicom Disk System,2.5,2.5,5
Castlevania II: Simon's Quest,1987, Famicom Disk System,2.5,3,5.5
Chip 'n Dale: Rescue Rangers,1990, NES,2,2.5,4.5
Chrome Dinosaur Game,2014,Web Browser,0.5,0.5,1
Chrono Trigger,1995, SNES,3.5,5,8.5
Command & Conquer,1995, DOS,5,5,10
Contra,1987, Arcade,2.5,2.5,5
Conway's Game of Life,1970, Mainframe,2,1.5,3.5
Cookie Clicker,2013,PC,1,1,2
Crash Bandicoot,1996, PlayStation,3.5,3.5,7
Day of the Tentacle,1993, DOS,4,4,8
Diablo,1996, Windows,3.5,5,8.5
Dig Dug,1982, Arcade,2.5,2,4.5
Donkey Kong,1981, Arcade,2,1.5,3.5
Donkey Kong Country,1994, SNES,2.5,3.5,6
Doodle Jump,2009,Mobile,1.5,1,2.5
Doom,1993, DOS,3.5,3.5,7
Doom II: Hell on Earth,1994, DOS,3.5,4,7.5
Double Dragon,1987, Arcade,3.5,4.5,8
Dr. Mario,1990, NES,1.5,1,2.5
DuckTales,1989, NES,2,2.5,4.5
Dune II: The Building of a Dynasty,1992, DOS,5,5,10
EarthBound,1994, SNES,3,4.5,7.5
EverQuest,1999, Windows,5,5,10
FTL: Faster Than Light,2012,PC,4.5,5,9.5
Final Fantasy,1987, NES,3,3.5,6.5
Final Fantasy Crystal Chronicles,2003, GameCube,3.5,3.5,7
Final Fantasy VIII,1999, PlayStation,4,5,9
Flappy Bird,2013,Mobile,1,1,2
Frogger,1981, Arcade,1.5,2,3.5
Full Tilt Pinball,1995,PC,2.5,2.5,5
Gorillas.bas,1990, MS-DOS,1,0.5,1.5
Gran Turismo,1997,Console,5,4,9
Guitar Hero,2005,Console,1.5,1.5,3
Harvest Moon,1996, SNES,3,3.5,6.5
Hill Climb Racing,2012,Mobile,2.5,2.5,5
Indy 500,1977, Atari 2600,2,1,3
Jetpack Joyride,2011,Mobile,1,1.5,2.5
Kirby's Adventure,1993, NES,2.5,3.5,6
Kirby's Dream Land,1992, Game Boy,2,2,4
Kirby's Pinball Land,1993, Game Boy,2,2,4
